City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Ha Tinh,VN,18.3333,105.9,74.21,92,59,7.94,broken clouds
244,Vardo,NO,70.3705,31.1107,30.18,86,40,9.22,scattered clouds
245,Pangody,RU,65.85,74.4859,-13.09,98,10,4.38,clear sky
246,Kirakira,SB,-10.4544,161.9205,81.88,77,100,1.59,overcast clouds
247,Soanierana Ivongo,MG,-16.9167,49.5833,72.88,89,26,2.51,scattered clouds
248,Mandiana,GN,10.6333,-8.6833,80.82,31,12,2.48,few clouds
249,Andros Town,BS,24.7,-77.7667,82.36,74,54,10.29,broken clouds
250,Geraldton,AU,-28.7667,114.6,68.41,68,100,9.22,overcast clouds
251,Kayerkan,RU,69.3497,87.7602,-3.42,99,100,2.71,overcast clouds
252,Peniche,PT,39.3558,-9.3811,53.56,96,100,14.14,overcast clouds
253,Boa Vista,BR,2.8197,-60.6733,87.78,55,20,13.8,few clouds
254,Ocampo,MX,21.65,-101.5,68.61,38,4,20.71,clear sky
255,Christchurch,NZ,-43.5333,172.6333,56.95,65,100,9.22,overcast clouds
256,Kara-Tyube,RU,44.6336,45.4369,35.8,73,22,16.62,few clouds
257,Gizo,SB,-8.103,156.8419,81.97,76,81,4.23,light rain
258,Mayo,US,38.8876,-76.5119,58.39,95,100,6.91,overcast clouds
259,Bitlis,TR,38.5,42.25,39.16,87,98,4.76,overcast clouds
260,Hovd,MN,48.0056,91.6419,-3.08,77,100,2.68,overcast clouds
261,Nanortalik,GL,60.1432,-45.2371,29.73,84,100,25.32,overcast clouds
262,Yashkul,RU,46.1711,45.3435,27.23,37,21,13.18,few clouds
263,Imeni Poliny Osipenko,RU,52.4201,136.4853,-10.53,93,96,6.35,overcast clouds
264,Hailey,US,43.5196,-114.3153,25.0,80,100,5.75,snow
265,Kununurra,AU,-15.7667,128.7333,71.58,88,92,0.0,overcast clouds
266,Umba,RU,66.6871,34.3429,28.09,97,100,4.36,overcast clouds
267,Manggar,ID,-2.8833,108.2667,78.17,81,100,5.21,overcast clouds
268,Ribeira Grande,PT,38.5167,-28.7,63.0,72,75,5.99,broken clouds
269,Puri,IN,19.8,85.85,70.32,73,8,7.09,clear sky
270,Sao Miguel,BR,-5.4667,-35.3667,81.37,68,100,12.21,overcast clouds
271,Pingliang,CN,35.5392,106.6861,17.56,29,88,0.92,overcast clouds
272,Castlemaine,AU,-37.0667,144.2167,61.29,81,63,15.3,broken clouds
273,Lianran,CN,24.9227,102.485,49.14,90,0,2.64,clear sky
274,Dallas,US,32.7668,-96.7836,53.47,33,75,11.01,broken clouds
275,Broome,US,42.2506,-75.833,46.33,86,100,21.85,overcast clouds
276,Brownsville,US,25.9018,-97.4975,64.35,77,100,20.71,overcast clouds
277,West Bay,KY,19.3667,-81.4167,86.07,73,20,10.36,few clouds
278,Tautira,PF,-17.7333,-149.15,78.35,81,34,12.35,light rain
279,Salalah,OM,17.0151,54.0924,78.89,73,20,5.75,few clouds
280,Guira De Melena,CU,22.7906,-82.5053,86.61,56,15,2.66,light rain
281,Killybegs,IE,54.6333,-8.45,49.32,93,100,8.72,overcast clouds
282,Newport,GB,51.5877,-2.9984,44.53,76,57,4.23,broken clouds
283,Tilichiki,RU,60.4667,166.1,31.06,95,100,38.56,heavy snow
284,Yerbogachen,RU,61.2767,108.0108,-4.07,97,100,7.07,overcast clouds
285,Paratinga,BR,-12.6906,-43.1842,73.6,87,92,2.95,light rain
286,Bereda,ES,43.2686,-7.5406,47.41,100,96,3.22,overcast clouds
287,Tukrah,LY,32.5341,20.5791,62.38,69,22,15.59,light rain
288,Kiama,AU,-34.6833,150.8667,66.25,77,100,1.01,overcast clouds
289,Arraial Do Cabo,BR,-22.9661,-42.0278,74.23,90,100,23.55,light rain
290,Asau,RO,46.4333,26.4,33.28,93,100,3.27,overcast clouds
291,Nishihara,JP,26.1842,127.7558,65.48,83,100,19.57,overcast clouds
292,Fez,MA,34.0372,-4.9998,50.25,53,0,4.61,clear sky
293,Sebinkarahisar,TR,40.2883,38.4236,45.66,77,87,2.24,overcast clouds
294,Tasiilaq,GL,65.6145,-37.6368,39.36,95,100,22.35,light rain
295,Mineros,BO,-17.1167,-63.2333,92.7,35,54,7.65,broken clouds
296,Lavrentiya,RU,65.5833,-171.0,22.73,90,41,7.9,scattered clouds
297,Lanzhou,CN,36.0564,103.7922,21.52,34,70,0.92,broken clouds
298,Quang Ngai,VN,15.1167,108.8,73.89,92,40,3.4,scattered clouds
299,Avera,US,33.194,-82.5271,68.56,71,52,14.85,broken clouds
300,Ryotsu,JP,38.0833,138.4333,38.23,87,100,9.1,light rain
301,Campo Maior,BR,-4.8278,-42.1686,83.53,58,55,4.07,broken clouds
302,Tazovskiy,RU,67.4667,78.7,-5.58,100,99,7.29,overcast clouds
303,Gat,IL,31.61,34.7642,60.4,69,0,4.29,clear sky
304,Ishigaki,JP,24.3448,124.1572,69.93,94,100,21.85,overcast clouds
305,Kutum,SD,14.2,24.6667,71.96,27,8,8.41,clear sky
306,Half Moon Bay,US,37.4636,-122.4286,60.58,59,0,6.91,clear sky
307,Urengoy,RU,65.9667,78.3667,-12.32,100,82,4.83,broken clouds
308,Gorontalo,ID,0.5412,123.0595,75.85,92,100,3.06,overcast clouds
309,Muzhi,RU,65.3667,64.6667,-11.49,100,52,3.42,broken clouds
310,Aklavik,CA,68.2191,-135.0107,-0.08,85,100,4.41,overcast clouds
311,Homer,US,59.6425,-151.5483,25.03,63,0,4.61,clear sky
312,Nagyigmand,HU,47.6409,18.0813,42.87,66,100,2.1,light rain
313,Byron Bay,AU,-28.65,153.6167,59.94,88,100,18.43,light rain
314,Sovetskiy,RU,61.3614,63.5842,2.93,94,100,2.86,overcast clouds
315,Santa Maria,BR,-29.6842,-53.8069,83.66,50,51,13.06,broken clouds
316,Chifeng,CN,42.2683,118.9636,7.02,35,0,10.13,clear sky
317,Luganville,VU,-15.5333,167.1667,83.84,74,92,9.24,overcast clouds
318,Katsuura,JP,35.1333,140.3,55.17,84,100,17.49,overcast clouds
319,Kashan,IR,33.9831,51.4364,54.72,42,43,4.61,scattered clouds
320,Fort Morgan,US,40.2503,-103.8,39.85,48,0,10.36,clear sky
